0	112, 113, 110, 98
1	170, 184, 192
2	69, 85
3	173, 194, 177
4	16, 21, 8, 32
5	115, 146, 121
6	202, 205, 204, 200
7	18, 35, 2
8	162, 165, 152
9	109, 114, 90
10	122, 123, 127
11	180, 183, 186
12	12, 30, 26
13	137, 145, 139
14	153, 164, 169
15	214, 233, 224
16	99, 102
17	252, 254, 265
18	52, 60, 46, 55
19	151, 166, 159
20	3, 5, 1, 39
21	7, 34, 31, 14
22	119, 130, 136
23	72, 79, 70
24	64, 87, 83, 76
25	131, 135, 147, 126
26	6, 9, 19, 13
27	219, 220, 227
28	253, 261, 257, 241
29	215, 217, 212
30	51, 54, 49, 63
31	116, 133, 128
32	176, 188, 172, 175
33	53, 58, 50, 47
34	203, 207
35	10, 22, 28
36	74, 75, 71, 84
37	67, 77, 82
38	156, 157, 168
39	155, 167
40	216, 228, 213, 231
41	242, 260, 259, 251
42	211, 222, 218
43	68, 88, 81
44	17, 38, 15, 37, 4
45	230, 236, 238, 223
46	25, 33, 23
47	66, 73, 80
48	95, 100
49	196, 199, 206
50	197, 209, 208
51	232, 239, 229
52	158, 163, 161
53	78, 86, 65
54	118, 148, 149
55	250, 264, 243, 267
56	11, 36, 29
57	96, 103, 104
58	59, 61, 43
59	185, 191, 187, 179
60	20, 27, 24
61	93, 111
62	91, 105, 94
63	41, 48, 44
64	181, 195, 193
65	178, 190, 171
66	182, 189, 174
67	117, 134
68	97, 101, 108, 89
69	256, 258, 246, 247
70	40, 45, 56, 42
71	248, 249, 245, 266
72	255, 262, 240
73	124, 138
74	132, 142, 125
75	129, 144
76	226, 235, 225, 221
77	154, 160, 150
78	198, 210, 201
79	92, 107, 106
80	140, 143
81	244, 263
82	120, 141
83	57, 62
84	234, 237
