0	480, 529, 468, 421, 471, 501, 472, 430, 428, 484, 518, 476, 508, 395, 481, 402, 442, 521, 475, 419, 479, 486, 473, 490, 396, 399, 513, 398
1	193, 220, 211, 203, 192, 196, 216, 198, 200, 201, 190
2	69, 71, 59
3	29, 39, 35, 27, 38
4	207, 213
5	41, 42
6	43, 45, 50, 44, 51, 54, 55, 53, 52, 49
7	305, 394, 307
8	97, 107, 95, 91
9	155, 158
10	168, 180
11	22, 23, 14
12	172, 189, 182, 175
13	7
14	46
15	47
16	48
17	60
18	89
19	105
20	106
21	108
22	121
23	145
24	159
25	176
26	208
27	219
28	223
29	224
30	262
31	303
32	356
